Page Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Overperforming Score (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x )
Senator Dan Sullivan,SenDanSullivan,1499142123704271,GOVERNMENT_OFFICIAL,US,The official Facebook page for Senator Dan Sullivan of Alaska.,2015-02-21 00:42:55 CET,13921,27078,2021-04-26 22:51:01 CEST,2021-04-26,22:51:01,Live Video Complete,"117,745",35513,18050,47020,4573,2295,504,398,9213,179,owned,Yes,800968,1491817,0,08:00:00,https://www.facebook.com/1499142123704271/posts/225938935996915,"Today, a leaked interview with Iran’s foreign minister revealed that President Biden’s special climate envoy, John Kerry, disclosed more than 200 secret operations conducted by Israel against Iran—the world’s largest state sponsor of terrorism. If true, this revelation is shocking and a betrayal of one of our most crucial allies in the world. I’m speaking live on the Senate floor calling on John Kerry to resign. Immediately.",https://www.facebook.com/SenDanSullivan/videos/225938935996915/,,,,,,,,800.99
Senator Ted Cruz,SenatorTedCruz,315496455229328,GOVERNMENT_OFFICIAL,US,Official Facebook page of U.S. Sen. Ted Cruz (R-TX). ,2014-08-18 20:43:36 CEST,1354588,1735824,2021-04-13 18:08:45 CEST,2021-04-13,18:08:45,Live Video Complete,"63,521",33687,9244,11248,8126,121,651,50,256,138,owned,Yes,533444,789926,0,00:19:40,https://www.facebook.com/315496455229328/posts/922783808555471,"WATCH: United States Senator Mike Lee, Josh Hawley, and I outline our legislation to end MLB’s special immunity from antitrust laws.",https://www.facebook.com/SenatorTedCruz/videos/922783808555471/,,,,,,,,19.74
Tim Scott,votetimscott,349068689306,POLITICIAN,US,Honored to serve the citizens of South Carolina. http://www.votetimscott.com,2014-09-17 21:47:17 CEST,228886,252583,2021-04-29 04:56:02 CEST,2021-04-29,04:56:02,Native Video,"22,453",10355,6686,681,4419,11,123,12,56,110,owned,Yes,76972,83307,0,00:00:15,https://www.facebook.com/349068689306/posts/10160802444414307,"Just wrapped up my response to Joe Biden's address to Congress. I appreciate all your prayers and well wishes--they worked! I'm hearing PLENTY of noise from the Left, but I want to know what YOU think. Let me know in the comments below!",https://www.facebook.com/votetimscott/videos/3769064486535796/,,,Tim Scott gave Republican response to Joe Biden's address to Congress,,,,,16.81
Senator Todd Young,SenatorToddYoung,186203844738421,GOVERNMENT_OFFICIAL,US,Representing Indiana in the U.S. Senate,2014-09-19 23:31:11 CEST,46903,100208,2021-04-16 13:50:12 CEST,2021-04-16,13:50:12,Status,"5,341",576,3535,72,19,5,2,788,108,236,,-,0,0,0,N/A,https://www.facebook.com/186203844738421/posts/5975798382445576,The shooting at FedEx was a senseless tragedy. Indiana and the nation mourn for the lives lost and forever changed last night.,,,,,,,,,15.05
Senator Cory Booker,SenatorCoryBooker,297200417819561,GOVERNMENT_OFFICIAL,US,"Cory Booker was raised in Harrington Park, living his life as a proud New Jerseyan. After graduating from Northern Valley Regional High School, Booker received his undergraduate degree from Stanford University where he played on the varsity football team. While at Stanford, he also was awarded a Rhodes Scholarship and went on to study at the University of Oxford where he received an honors degree in History. Booker then completed his education at Yale Law School, receiving his J.D. in 1997.

After law school, Booker moved to Newark – where he still lives to this day – and started a nonprofit organization to provide legal services for low-income families and help tenants take on slumlords, improve living conditions, and stay in their homes.

At the age of twenty-nine, Booker was elected to the Newark City Council from the city’s Central Ward. In the seventeen years since, Booker has worked tirelessly at the local and national levels to improve the lives of New Jerseyans and Americans.

Starting in 2006, Booker proudly served as Newark’s mayor for more than seven years. During his tenure, the city entered its largest period of economic growth since the 1960s. In addition, overall crime declined and the quality of life for residents improved due to initiatives such as more affordable housing, new green spaces and parks, increased educational opportunities, and more efficient city services.

On October 16th, 2013, Booker won a special election to represent New Jersey in the United States Senate. On November 4th, 2014, Senator Booker was re-elected to a full six year term. As New Jersey’s junior Senator, Cory Booker has brought an innovative and bipartisan approach to tackling some of the most difficult problems facing New Jersey and our country.

Senator Booker has established himself as an innovative and bipartisan problem-solver committed to developing collaborative solutions that address some of our most complex challenges. Whether it’s advocating for more federal resources to modernize New Jersey’s transportation system, securing funds to continue the long recovery from Superstorm Sandy, or ensuring that our communities are safe from the effects of pollution and climate change, Booker has proven his steadfast commitment to standing up for what matters most to New Jerseyans. Booker has also emerged as a national leader in the Congressional push for common sense criminal justice reform, advocating for front-end sentencing reforms, pushing for the banning of juvenile solitary confinement in federal facilities, and spearheading legislation to make the hiring process fairer for the formerly incarcerated. Booker has also partnered with colleagues on both sides of the aisle to create a number of economic proposals, from increased small business investment to apprenticeship programs, with the hope of fostering greater economic mobility and opportunity for individual Americans.
",2019-02-04 13:52:07 CET,1105946,1099508,2021-04-20 23:35:29 CEST,2021-04-20,23:35:29,Link,"28,878",19150,1115,969,6819,20,24,35,30,716,,-,0,0,0,N/A,https://www.facebook.com/297200417819561/posts/811598483046416,"Justice is served. Accountability for George Floyd's murder is important and necessary. But it’s not enough—we still must fix this deeply broken system. Today I’m thinking about George Floyd’s family, his daughter and his loved ones as they continue to mourn this unspeakable loss.",https://www.nytimes.com/live/2021/04/20/us/derek-chauvin-verdict-george-floyd,,,Derek Chauvin Trial Live Updates: Chauvin Found Guilty of Murdering George Floyd,"Mr. Chauvin, a former Minneapolis police officer, was found guilty of second-degree murder, third-degree murder and second-degree manslaughter. The death of Mr. Floyd spurred the largest civil rights protests in decades.",,,,14.74
Senator Cory Booker,SenatorCoryBooker,297200417819561,GOVERNMENT_OFFICIAL,US,"Cory Booker was raised in Harrington Park, living his life as a proud New Jerseyan. After graduating from Northern Valley Regional High School, Booker received his undergraduate degree from Stanford University where he played on the varsity football team. While at Stanford, he also was awarded a Rhodes Scholarship and went on to study at the University of Oxford where he received an honors degree in History. Booker then completed his education at Yale Law School, receiving his J.D. in 1997.

After law school, Booker moved to Newark – where he still lives to this day – and started a nonprofit organization to provide legal services for low-income families and help tenants take on slumlords, improve living conditions, and stay in their homes.

At the age of twenty-nine, Booker was elected to the Newark City Council from the city’s Central Ward. In the seventeen years since, Booker has worked tirelessly at the local and national levels to improve the lives of New Jerseyans and Americans.

Starting in 2006, Booker proudly served as Newark’s mayor for more than seven years. During his tenure, the city entered its largest period of economic growth since the 1960s. In addition, overall crime declined and the quality of life for residents improved due to initiatives such as more affordable housing, new green spaces and parks, increased educational opportunities, and more efficient city services.

On October 16th, 2013, Booker won a special election to represent New Jersey in the United States Senate. On November 4th, 2014, Senator Booker was re-elected to a full six year term. As New Jersey’s junior Senator, Cory Booker has brought an innovative and bipartisan approach to tackling some of the most difficult problems facing New Jersey and our country.

Senator Booker has established himself as an innovative and bipartisan problem-solver committed to developing collaborative solutions that address some of our most complex challenges. Whether it’s advocating for more federal resources to modernize New Jersey’s transportation system, securing funds to continue the long recovery from Superstorm Sandy, or ensuring that our communities are safe from the effects of pollution and climate change, Booker has proven his steadfast commitment to standing up for what matters most to New Jerseyans. Booker has also emerged as a national leader in the Congressional push for common sense criminal justice reform, advocating for front-end sentencing reforms, pushing for the banning of juvenile solitary confinement in federal facilities, and spearheading legislation to make the hiring process fairer for the formerly incarcerated. Booker has also partnered with colleagues on both sides of the aisle to create a number of economic proposals, from increased small business investment to apprenticeship programs, with the hope of fostering greater economic mobility and opportunity for individual Americans.
",2019-02-04 13:52:07 CET,1106197,1099735,2021-04-12 23:56:46 CEST,2021-04-12,23:56:46,Photo,"30,353",3255,13583,1772,158,71,463,7035,3631,385,,-,0,0,0,N/A,https://www.facebook.com/297200417819561/posts/806991386840459,"#DaunteWright Just 20 years old. A father. Unarmed, killed by police, and left on the street. There must be accountability. There must be justice. #BlackLivesMatter",https://www.facebook.com/SenatorCoryBooker/photos/a.312370056302597/806991353507129/?type=3,,CHICAGO thday,,,,,,14.66
Senator Jim Risch,SenatorJimRisch,500772543609803,GOVERNMENT_OFFICIAL,US,"Proudly serving Idaho in the U.S. Senate. Chairman of Senate Committee on Foreign Relations. Visit my website at www.Risch.Senate.gov.

Profane, derogatory, and comments with obscenities will be deleted. ",2017-08-22 18:23:24 CEST,3496,12634,2021-04-29 15:39:40 CEST,2021-04-29,15:39:40,Status,"2,104",573,973,171,12,10,176,48,140,1,,-,0,0,0,N/A,https://www.facebook.com/500772543609803/posts/1456410811379300,What the President did last night was lay out a comprehensive vision for how to transition our society from capitalism to socialism. More government is not the answer to our problems.,,,,,,,,,14.61
Tim Scott,votetimscott,349068689306,POLITICIAN,US,Honored to serve the citizens of South Carolina. http://www.votetimscott.com,2014-09-17 21:47:17 CEST,228886,252583,2021-04-29 06:18:24 CEST,2021-04-29,06:18:24,Photo,"46,305",25463,2890,8364,9263,14,81,8,19,203,,-,0,0,0,N/A,https://www.facebook.com/349068689306/posts/10160802562284307,Our best future won’t come from Washington schemes or socialist dreams. It will come from you — the American people.,https://www.facebook.com/votetimscott/photos/a.448427444306/10160802559989307/?type=3,,""" Our best future won't come from Washington schemes or socialist dreams. It will come from you- the American people."" -SENATOR TIM SCOTT TIM SCOTT U SENATE",,,,,,13.46
Senator Dan Sullivan,SenDanSullivan,1499142123704271,GOVERNMENT_OFFICIAL,US,The official Facebook page for Senator Dan Sullivan of Alaska.,2015-02-21 00:42:55 CET,15096,33843,2021-04-30 00:56:04 CEST,2021-04-30,00:56:04,Photo,"4,048",2054,891,443,523,5,75,9,36,12,,-,0,0,0,N/A,https://www.facebook.com/1499142123704271/posts/2922801004671702,"Last night, President Biden gave remarks during a joint session of Congress. Going into the speech, I had hoped that President Biden was going to call a cease-fire from his administration’s war on Alaska. After all, no state in the country has been targeted by the Biden administration as much as ours. So far, there have been nine executive orders that threaten our economy, businesses, and hard-working families. I also thought he would mention the crisis at the southern border, which I have seen firsthand, and the urgent need to secure our border. Unfortunately, Biden didn’t talk about either. Instead, he talked about spending trillions of additional dollars. He talked about raising taxes on families. And he talked about increasing government’s role in the life of all Americans. President Biden’s vision is for cradle-to-grave socialism and a government that seems to forget about the importance of rewarding individual initiative and hard work. I don’t believe that’s what Americans want. The most important speech of the night, by far, was from my close friend and colleague, Senator Tim Scott, of South Carolina. He had “an honest conversation about common sense and common ground,” one that expressed what so many Americans believe, that the future of our nation, our state, our communities, is in our hands--the hands of the American people. The hands of hard-working Alaskans. As I was leaving my office last night, I bumped into Tim, snapped a quick picture with him, and thanked him for outlining a positive vision for our country, and for his courage and convictions. I want my fellow Alaskans to know this: I will continue to try and work with the Biden administration where I can, and fight them where I must.",https://www.facebook.com/SenDanSullivan/photos/a.1534304520188031/2922800381338431/?type=3,,,,,,,,13.4
Tim Scott,votetimscott,349068689306,POLITICIAN,US,Honored to serve the citizens of South Carolina. http://www.votetimscott.com,2014-09-17 21:47:17 CEST,228886,252583,2021-04-30 00:28:00 CEST,2021-04-30,00:28:00,Native Video,"16,183",9763,1445,1201,3611,1,37,6,13,106,owned,Yes,49412,64969,0,00:00:58,https://www.facebook.com/349068689306/posts/10160804469079307,It was an honor to share my hopeful vision for America’s future with all of you last night. Thank you for your prayers and support!,https://www.facebook.com/votetimscott/videos/971316000285539/,,,Tim Scott - Biden Response Speech,,,,,12.11
