,Page Name,User Name,Facebook Id,Likes at Posting,Followers at Posting,Created,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Overperforming Score (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x ),reactions_sum,reactions_groupavg,score
0,Senator Jack Reed,SenJackReed,213866375370646,16439,30527,2021-05-05 17:32:19 CEST,Photo,"3,757",1607,1231,195,491,2,161,7,50,13,,0,0,0,,https://www.facebook.com/213866375370646/posts/3928875627203017,"Welcome to Rhode Island, Madam Vice President! We are thrilled to have @VicePresident in the Ocean State today and hope this will be the first of many visits.",https://www.facebook.com/SenJackReed/photos/a.285403791550237/3928875340536379/?type=3,,,,,,,20.53,3757,2015.5,1.864053584718432
1,U.S. Senator Kirsten Gillibrand,SenKirstenGillibrand,147791132432624,28112,157368,2021-04-29 03:02:33 CEST,Photo,"9,446",3808,2749,512,1982,13,234,25,79,44,,0,0,0,,https://www.facebook.com/147791132432624/posts/904967546714975,"For the first time in history, both seats behind the President of the United States during his Joint Address are occupied by women.",https://www.facebook.com/SenKirstenGillibrand/photos/a.153893978489006/904966693381727/?type=3,,,,,,,18.82,9446,959.3703703703703,9.846040999112072
2,Senator Maggie Hassan,SenatorHassan,523773000968844,23081,37003,2021-04-23 18:13:17 CEST,Photo,"5,755",1521,2907,138,587,9,190,18,373,12,,0,0,0,,https://www.facebook.com/523773000968844/posts/4326365820709524,Look who’s in New Hampshire today! I’m glad to help show Vice President Kamala Harris around the Granite State.,https://www.facebook.com/SenatorHassan/photos/a.553083364704474/4326365544042885/?type=3,,,,,,,18.15,5755,757.2758620689655,7.599608396703247
3,Senator Jeanne Shaheen,SenatorShaheen,127503767282103,30335,47703,2021-04-20 23:56:22 CEST,Link,"2,223",1170,542,60,342,1,6,14,13,75,,0,0,0,,https://www.facebook.com/127503767282103/posts/4310619632303808,"Justice has been served, but George Floyd should be alive today. My heart breaks for Mr. Floyd’s family who’ve endured more pain than any family should ever have to. This has been the experience for too many in our communities of color. It has to stop. –J.S.",https://www.cnn.com/2021/04/20/us/derek-chauvin-trial-george-floyd-deliberations/index.html?utm_medium=social&utm_term=link&utm_source=twCNN&utm_content=2021-04-20T21%3A17%3A19,,,Derek Chauvin found guilty of all three charges for killing George Floyd,The former Minneapolis Police officer who knelt on George Floyd's neck for more than 9 minutes last year was found guilty Tuesday of all three charges against him in one of the most consequential trials of the Black Lives Matter era.,,,17.1,2223,372.77777777777777,5.963338301043219
4,Alex Padilla,alexpadilla4ca,471134912978464,28053,29355,2021-04-20 15:39:06 CEST,Native Video,812,534,77,49,137,0,5,0,1,9,owned,3746,7257,0,00:02:04,https://www.facebook.com/471134912978464/posts/3962404573851463,"Today, I am excited to announce my reelection campaign to continue serving you in the United States Senate. Together, we can accomplish incredible things for the people of California, and make the American dream available to more people than ever. Join us: alex-padilla.com",https://www.facebook.com/alexpadilla4ca/videos/1109814026206129/,,,Alex Padilla for Senate,,,,16.24,812,506.5652173913044,1.6029525362629817
5,Senator Edward J. Markey,EdJMarkey,6846731378,56693,135261,2021-04-15 18:28:51 CEST,Photo,"5,750",1641,2261,726,355,14,90,13,639,11,,0,0,0,,https://www.facebook.com/6846731378/posts/10158554969721379,"Adding four new seats to the Supreme Court, to be filled by President Biden, will repair the damage done by Mitch McConnell and Donald Trump. The bench will then rightly reflect the values of the majority of the American people on whose behalf they serve.",https://www.facebook.com/EdJMarkey/photos/a.500519636378/10158554969516379/?type=3,,"EXPAND THE COURT We must break the Court's far-right, anti-democratic majority and pass THE JUDICIARY ACT OF 2021 This bill will expand the number of Supreme Court Justices from 9 to 13 人人人人",,,,,11.88,5750,1048.8297872340424,5.482300436149711
6,Senator Bob Menendez,senatormenendez,349744811357,54046,161245,2021-04-30 15:59:31 CEST,Link,"3,770",1803,298,804,434,25,388,1,0,17,,0,0,0,,https://www.facebook.com/349744811357/posts/10159208246911358,"Eat your heart out, Senator Chuck Schumer U.S. Senator Kirsten Gillibrand.",https://www.nj.com/food/2021/04/nj-was-just-named-the-best-pizza-state-in-america-we-told-you.html,,,N.J. was just named the best pizza state in America. We told you.,"I mean, we already knew this. But thanks, Food & Wine!",,,11.29,3770,874.4473684210526,4.3112943513196305
7,Senator Bob Menendez,senatormenendez,349744811357,53696,160939,2021-04-24 18:13:07 CEST,Native Video,"2,414",1098,366,387,409,1,7,6,2,138,owned,13716,25574,0,00:00:31,https://www.facebook.com/349744811357/posts/10159194400046358,"When my resolution recognizing the Armenian genocide finally passed the Senate after decades of obstruction, I couldn’t help but fight back tears. Today, I’m once again overcome with emotion as President Joe Biden reaffirms that there is only one word for the atrocities that began 106 years ago — genocide.",https://www.facebook.com/senatormenendez/videos/793750151523982/,,,,,,,9.85,2414,874.4473684210526,2.760600680128803
8,Senator Chuck Schumer,senschumer,15771239406,429062,584691,2021-04-20 18:46:14 CEST,Status,"20,364",10381,1191,1783,3534,84,3228,6,23,134,,0,0,0,,https://www.facebook.com/15771239406/posts/10159600131554407,Happy 420. From the Senate Majority Leader.,,,,,,,,9.42,20364,5172.55223880597,3.936934623341923
9,Senator Kyrsten Sinema,SenatorSinema,233846963416149,60799,77290,2021-05-06 18:06:01 CEST,Photo,"2,883",1834,730,165,74,7,23,3,37,10,,0,0,0,,https://www.facebook.com/233846963416149/posts/2262492007218291,We met with Arizona National Guard leaders about their needs and how we can further support the mission at the border. http://sinema.senate.gov/sinema-meets-arizonas-national-guard-senior-leadership:=:https://www.sinema.senate.gov/sinema-meets-arizonas-national-guard-senior-leadership,https://www.facebook.com/SenatorSinema/photos/a.235636076570571/2262491937218298/?type=3,,,,,,,9.3,2883,530.1481481481482,5.438102556937264
